category,Description,Test Steps,Expected Results
Account Creation,Create New Account with Valid information,"1.In the banking website or app, find the ""Open New Account"" or ""Apply for an Account"" option. This may be under the ""Accounts"" or ""Services"" section.
2.Choose the type of account you want to open. Common options may include savings account, current account, fixed deposit, etc.
3.Fill in their personal information, which may include:
Full name
Date of birth
Gender
Contact information (address, email, phone number)
4.Submit identification documents, which typically include:
Proof of identity (e.g., passport, driver's license, Aadhar card)
Proof of address (e.g., utility bill, bank statement)
5.Select any additional features or services you want to associate with the account. This may include a debit card, checkbook, internet banking access, etc.
6.Specify the initial deposit amount required to open the account. It may have a minimum balance requirement.
7.Review the information you provided for accuracy. Make sure all details are correct.
8.Read and agree to the terms and conditions associated with the new account.
9.Submit the application for the new account.","1.User should be able to click on ""Open New Account"" or ""Apply for an Account"" option. This may be under the ""Accounts"" or ""Services"" section.
2.User should be able to choose the type of account you want to open. Common options may include savings account, current account, fixed deposit, etc.
3.User should be able to fill in their personal information, which may include:
Full name
Date of birth
Gender
Contact information (address, email, phone number)
4.User should be able to submit identification documents, which typically include:
Proof of identity (e.g., passport, driver's license, Aadhar card)
Proof of address (e.g., utility bill, bank statement)
5.User should be able to select any additional features or services you want to associate with the account. This may include a debit card, checkbook, internet banking access, etc.
6.User should be able to specify the initial deposit amount required to open the account. It may have a minimum balance requirement.
7.User should be able to review the information you provided for accuracy. Make sure all details are correct.
8.User should be able to read and agree to the terms and conditions associated with the new account.
9.User should be able to submit the application for the new account."
Account Creation,Inability to create an account with incomplete or invalid information.,"1.In the banking website or app, find the ""Open New Account"" or ""Apply for an Account"" option. This may be under the ""Accounts"" or ""Services"" section.
2.Choose the type of account you want to open. Common options may include savings account, current account, fixed deposit, etc.
3.Fill in their personal information, which may include:
Full name
Date of birth
Gender
Contact information (address, email, phone number)
4.Submit identification documents, which typically include:
Proof of identity (e.g., passport, driver's license, Aadhar card)
Proof of address (e.g., utility bill, bank statement)
5.Select any additional features or services you want to associate with the account. This may include a debit card, checkbook, internet banking access, etc.
6.Specify the initial deposit amount required to open the account. It may have a minimum balance requirement.
7.Review the information you provided for accuracy. Make sure all details are correct.
8.Read and agree to the terms and conditions associated with the new account.
9.Submit the application for the new account.","1.User should be able to click on ""Open New Account"" or ""Apply for an Account"" option. This may be under the ""Accounts"" or ""Services"" section.
2.User should be able to choose the type of account you want to open. Common options may include savings account, current account, fixed deposit, etc.
3.User should not be able to fill in invalid personal information, which may include:
Full name
Date of birth
Gender
Contact information (address, email, phone number)"
Account Creation,Open a New Savings Account,"1. Navigate to the ""Open an Account"" or ""Apply for a Savings Account"" section. 
2. Provide required personal information (name, contact details). 
3. Select the account type (e.g., savings account). 
4. Verify identity and provide necessary documentation.
5. Review and agree to terms and conditions. 
6. Submit the application.","A new savings account is successfully created, and the user receives confirmation of the account details and account number."
Account Creation,Open a New Checking Account,"1. Navigate to the ""Open an Account"" or ""Apply for a Checking Account"" section. 
2. Provide required personal information (name, contact details). 
3. Select the account type (e.g., checking account). 
4. Verify identity and provide necessary documentation. 
5. Review and agree to terms and conditions. 
6. Submit the application.","A new checking account is successfully created, and the user receives confirmation of the account details and account number."
Account Creation,Apply for a Credit Card,"1. Navigate to the ""Apply for a Credit Card"" section. 
2. Provide personal and financial information. 
3. Choose the type of credit card (e.g., rewards card, cashback card). 
4. Verify identity and provide necessary documentation. 
5. Review and agree to the credit card terms and conditions. 
6. Submit the credit card application.","A credit card application is successfully submitted, and the user receives a confirmation of the application status."
Account Creation,Request a Loan Application,"1. Navigate to the ""Apply for a Loan"" or ""Request a Loan"" section.
2. Provide personal and financial information. 
3. Choose the loan type (e.g., personal loan, mortgage). 
4. Verify identity and provide necessary documentation. 
5. Review and agree to loan terms and conditions. 
6. Submit the loan application.","A loan application is successfully submitted, and the user receives confirmation of the application status."
Account Creation,Request a Fixed Deposit Account,"1. Navigate to the ""Open a Fixed Deposit"" section. 
2. Provide personal information and deposit amount. 
3. Select the fixed deposit term (e.g., 1 year, 5 years). 
4. Verify identity and provide necessary documentation. 
5. Review and agree to fixed deposit terms and conditions. 
6. Submit the fixed deposit request.","A fixed deposit account is successfully created, and the user receives confirmation of the account details and deposit term."
Account Creation,Open a Business Account,"1. Navigate to the ""Open a Business Account"" section. 
2. Provide business information and contact details. 
3. Select the type of business account (e.g., business checking account). 4. Verify business identity and provide necessary business documentation. 
5. Review and agree to business account terms and conditions.
6. Submit the business account application.","A new business account is successfully created, and the user receives confirmation of the account details and account number."
Activate Netbanking,Activate Netbanking for an Existing Account,"1. Log in to the account. 2. Navigate to the ""Netbanking Activation"" or ""Online Banking Activation"" section. 3. Verify identity (e.g., provide account details, OTP, or security questions). 4. Create a username and password for Netbanking. 5. Confirm the activation.","Netbanking is successfully activated for the user's existing account, and the user can access online banking services."
Activate Netbanking,Request Netbanking Activation,"1. Access the bank's website or app. 
2. Select the ""Request Netbanking Access"" or ""Activate Online Banking"" option. 
3. Provide personal details and account information. 
4. Verify identity (e.g., provide OTP or security questions). 
5. Create a username and password for Netbanking. 
6. Confirm the activation.","Netbanking access is granted, and the user can access online banking services with the provided login credentials."
Activate Netbanking,Reset Netbanking Password,"1. Visit the ""Forgot Password"" or ""Reset Netbanking Password"" page. 
2. Provide the registered username and account information. 
3. Verify identity (e.g., answer security questions or receive a verification code). 
4. Set a new Netbanking password. 
5. Confirm the password reset.","The Netbanking password is successfully reset, and the user can log in with the new credentials."
Activate Netbanking,Deactivate Netbanking,"1. Log in to the Netbanking account. 
2. Navigate to the ""Deactivate Netbanking"" or ""Close Online Banking"" section. 
3. Confirm the deactivation by following the provided steps (e.g., enter reasons for deactivation).","Netbanking is successfully deactivated, and the user no longer has access to online banking services."
Activate Netbanking,Unlock Netbanking Account,"1. Visit the ""Unlock Account"" or ""Unlock Netbanking"" section. 
2. Provide the registered username and account information. 
3. Verify identity (e.g., answer security questions or receive a verification code). 
4. Unlock the Netbanking account.","The Netbanking account is successfully unlocked, and the user can resume using online banking services."
Activate Netbanking,Verify user is able to activate netbanking with valid information.,"1.Visit the NetBanking registration page.
2.Enter  customer ID and confirm  mobile number to generate an OTP.
3.Enter the OTP.
4.Select debit card and enter details.
5.Set password for the accessing the account
",User should be able to activate netbanking with valid information.
Activate Netbanking,Verify user is unable to activate netbanking with invalid information.,"1.Visit the NetBanking registration page.
2.Enter  customer ID and confirm  mobile number to generate an OTP.
3.Enter the OTP.
4.Select debit card and enter details.
5.Set password for the accessing the account
",User should not be able to activate netbanking with invalid information.
User Authentication and Security,Verify whether the user is able to login with Valid Credentials,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
","1.If the username and password are correct, you will successfully log in to your online banking account.
2.User will be redirected to your account dashboard, where user  can access your account details, balances, and conduct various banking activities."
User Authentication and Security,Verify whether the user is unable to login with invalid Credentials,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
","1.If the username or password is incorrect, user will receive an error message, and user may have the option to reset your password or contact customer support for assistance."
User Authentication and Security,Multi-Factor Authentication (MFA),1. Log in using valid credentials. 2. Receive and enter the one-time MFA code sent to the user's registered email or mobile device.,"The user successfully completes the MFA process, adding an additional layer of security to their account."
User Authentication and Security,Session Timeout,1. Allow the session to remain idle for the configured session timeout duration.,"The user is automatically logged out after the session timeout, ensuring that their account remains secure."
Account Management,Validate whether the user account got Lockout After Multiple Failed Attempts,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Click the ""Login"" or ""Submit"" button.
6.Repeat steps 3 , 4 and 5 multiple times.
","1.The website locks the user's account after a defined number of failed login attempts.
2.The user cannot log in with the correct credentials.
3.After a predefined time period , the account is automatically unlocked."
Account Management,Validate whether the user is able to trigger forgot password link.,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website. 
3.Click on the ""Forgot Password"" or ""Reset Password"" link.
4.Enter a valid registered email address in the provided field.
5.Click on the ""Submit"" or ""Reset"" button.","1.The website displays a success message indicating that a password reset email has been sent.
2.The user receives a password reset email.
3.The user can follow the link in the email to reset their password."
Account Management,Resetting password within expiration time.,"1.Navigate to the user's email inbox where the password reset email is received.
2.Locate the password reset email and open it.
3.Click on the password reset link provided in the email.
4.Record the date and time when the link was clicked.
5.Wait for a time period equal to or shorter than the defined link expiration time (e.g., 23 hours).
6.Return to the password reset link.
7.Click the same password reset link again.","1.The password reset link should open a password reset page on the Banking website.
2.The system should record the date and time of the first click on the link.
3.The system should wait for a time period equal to or shorter than the defined link expiration time.
4.The password reset link should still be valid, and the user should be able to reset the password without errors."
Account Management,Resetting password after link expiration time,"1.Navigate to the user's email inbox where the password reset email is received.
2.Locate the password reset email and open it.
3.Click on the password reset link provided in the email.
4.Record the date and time when the link was clicked.
5.Wait for a time period longer than the defined link expiration time (e.g., 25 hours).
6.Return to the password reset link.
7.Click the same password reset link again.","1.The password reset link should open a password reset page on the Banking website.
2.The system should record the date and time of the first click on the link.
3. The system should wait for a time period longer than the defined link expiration time.
4.The password reset link should not expire as expected or  the error message is not displayed when using the expired link."
Account Management,Validate whether the user is login with Incorrect OTP,"1.Navigate to the Bankingwebsite or app.
2.Click on the ""Login"" or ""Sign In"" link.
3.Select the option for ""Login with OTP.""
4.Enter a valid email or phone number associated with the user's account.
5.Click the ""Request OTP"" or ""Send OTP"" button.
6.Check the registered email inbox or the phone's messages for the OTP code.
7.Retrieve the OTP code.
8.Enter an incorrect OTP code into the provided field.
9.Click the ""Verify"" or ""Login"" button.","1.The website or app should display an error message indicating that the OTP entered is incorrect.
2.The user should not be able to log in with an incorrect OTP."
Account Management,Validate whether the user is able to login with Expired OTP,"1.Navigate to the Bankingwebsite or app.
2.Click on the ""Login"" or ""Sign In"" link.
3.Select the option for ""Login with OTP.""
4.Enter a valid email or phone number associated with the user's account.
5.Click the ""Request OTP"" or ""Send OTP"" button.
6.Check the registered email inbox or the phone's messages for the OTP code.
7.Retrieve the OTP code.
8.Wait for a time period longer than the OTP expiration time (e.g., 6 minutes).
9.Enter the OTP code into the provided field.
10.Click the ""Verify"" or ""Login"" button.","1.The website or app should display an error message indicating that the OTP has expired.
2.The user should not be able to log in with an expired OTP."
Account Management,Validate whether user is able to view All Accounts,"1.Navigate to the URL of your bank's official website.
2. Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7.Go to the ""Accounts"" section. 

","1. User will be redirected to your account dashboard,
2. User can see a list of all their accounts. 
2. Account details such as account number, type, and balance are displayed."
Account Management,Validate whether user is able to filter Accounts,"1.Navigate to the URL of your bank's official website.
2. Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Go to the ""Accounts"" section. 
8. Apply filters such as account type or status.",Accounts matching the specified filters are displayed.
Account Management,Verify whether the user is able to access the balance information available in savings or current account.,"1.Navigate to the section of website or app labelled as ""Accounts""
2.Click on ""Saving "" or Current account based on information needed.",User should be able to access the balance information available in savings or current account.
Account Management, Verify that account statements are generated correctly.,"1.Choose the specific bank account for which user want to generate a statement if you have multiple accounts.
Choose Statement Period:
2.Select the period for which you want the statement. This could be a specific date range (e.g., monthly, quarterly, or custom dates).
3.Click the ""Generate Statement"" or ""Download Statement"" button. The website may prompt you to confirm your request.
Confirm Security:
4.You may need to provide additional security information, such as answering security questions, entering a one-time password (OTP), or verifying your identity.
5.After confirming the request, the bank's website should generate the statement in a downloadable format, such as PDF or CSV.
6.Review the statement to ensure it is accurate. If everything looks good, save the statement to your device or computer.





","The bank statement for the selected period is successfully generated and downloaded.
"
